symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
SPY,2022-08-24 04:00:00,289,0,413.67,119550.63,119550.63,0.0,-332.35
SPY,2022-08-29 04:00:00,339,0,402.63,136491.57,136491.57,0.0,-301.71
SPY,2022-08-30 04:00:00,339,0,398.21,134993.19,134993.19,0.0,-1800.09
SPY,2022-08-31 04:00:00,339,0,395.18,133966.02,133966.02,0.0,-2827.26
SPY,2022-09-16 04:00:00,348,0,385.56,134174.88,134174.88,0.0,480.24
SPY,2022-09-19 04:00:00,348,0,388.55,135215.4,135215.4,0.0,1520.76
SPY,2022-09-20 04:00:00,348,0,384.09,133663.32,133663.32,0.0,-31.32
SPY,2022-09-22 04:00:00,360,0,374.22,134719.2,134719.2,0.0,-594.0
SPY,2022-09-23 04:00:00,360,0,367.95,132462.0,132462.0,0.0,-2851.2
SPY,2022-09-26 04:00:00,360,0,364.31,131151.6,131151.6,0.0,-4161.6
SPY,2022-10-10 04:00:00,373,0,360.02,134287.46,134287.46,0.0,-343.16
SPY,2022-10-11 04:00:00,373,0,357.74,133437.02,133437.02,0.0,-1193.6
SPY,2022-10-12 04:00:00,373,0,356.56,132996.88,132996.88,0.0,-1633.74
SPY,2022-11-02 04:00:00,351,0,374.87,131579.37,131579.37,0.0,-2397.33
SPY,2022-11-03 04:00:00,351,0,371.01,130224.51,130224.51,0.0,-3752.19
SPY,2022-11-04 04:00:00,351,0,376.35,132098.85,132098.85,0.0,-1877.85
SPY,2022-11-29 05:00:00,340,0,395.23,134378.2,134378.2,0.0,-23.8
SPY,2022-11-30 05:00:00,340,0,407.68,138611.2,138611.2,0.0,4209.2
SPY,2022-12-01 05:00:00,340,0,407.38,138509.2,138509.2,0.0,4107.2
SPY,2022-12-06 05:00:00,339,0,393.83,133508.37,133508.37,0.0,-674.61
SPY,2022-12-07 05:00:00,339,0,393.16,133281.24,133281.24,0.0,-901.74
SPY,2022-12-08 05:00:00,339,0,396.24,134325.36,134325.36,0.0,142.38
SPY,2022-12-16 05:00:00,349,0,383.27,133761.23,133761.23,0.0,-188.46
SPY,2022-12-19 05:00:00,349,0,380.02,132626.98,132626.98,0.0,-1322.71
SPY,2022-12-20 05:00:00,349,0,380.54,132808.46,132808.46,0.0,-1141.23
SPY,2022-12-23 05:00:00,357,0,382.91,136698.87,136698.87,0.0,846.09
SPY,2022-12-27 05:00:00,357,0,381.4,136159.8,136159.8,0.0,307.02
SPY,2022-12-28 05:00:00,357,0,376.66,134467.62,134467.62,0.0,-1385.16
SPY,2023-01-19 05:00:00,348,0,388.64,135246.72,135246.72,0.0,-184.44
SPY,2023-01-20 05:00:00,348,0,395.88,137766.24,137766.24,0.0,2335.08
SPY,2023-01-23 05:00:00,348,0,400.63,139419.24,139419.24,0.0,3988.08
SPY,2023-02-06 05:00:00,332,0,409.83,136063.56,136063.56,0.0,43.16
SPY,2023-02-07 05:00:00,332,0,415.19,137843.08,137843.08,0.0,1822.68
SPY,2023-02-08 05:00:00,332,0,410.65,136335.8,136335.8,0.0,315.4
SPY,2023-02-10 05:00:00,336,0,408.04,137101.44,137101.44,0.0,443.52
SPY,2023-02-13 05:00:00,336,0,412.83,138710.88,138710.88,0.0,2052.96
SPY,2023-02-14 05:00:00,336,0,412.64,138647.04,138647.04,0.0,1989.12
SPY,2023-02-17 05:00:00,338,0,407.26,137653.88,137653.88,0.0,500.24
SPY,2023-02-21 05:00:00,338,0,399.09,134892.42,134892.42,0.0,-2261.22
SPY,2023-02-22 05:00:00,338,0,398.54,134706.52,134706.52,0.0,-2447.12
SPY,2023-03-01 05:00:00,346,0,394.74,136580.04,136580.04,0.0,-103.8
SPY,2023-03-02 05:00:00,346,0,397.81,137642.26,137642.26,0.0,958.42
SPY,2023-03-03 05:00:00,346,0,404.19,139849.74,139849.74,0.0,3165.9
SPY,2023-03-08 05:00:00,347,0,398.92,138425.24,138425.24,0.0,267.19
SPY,2023-03-09 05:00:00,347,0,391.56,135871.32,135871.32,0.0,-2286.73
SPY,2023-03-10 05:00:00,347,0,385.91,133910.77,133910.77,0.0,-4247.28
SPY,2023-04-21 04:00:00,335,0,412.2,138087.0,138087.0,0.0,261.3
SPY,2023-04-24 04:00:00,335,0,412.63,138231.05,138231.05,0.0,405.35
SPY,2023-04-25 04:00:00,335,0,406.08,136036.8,136036.8,0.0,-1788.9
SPY,2023-05-03 04:00:00,334,0,408.02,136278.68,136278.68,0.0,-935.2
SPY,2023-05-04 04:00:00,334,0,405.13,135313.42,135313.42,0.0,-1900.46
SPY,2023-05-05 04:00:00,334,0,412.63,137818.42,137818.42,0.0,604.54
SPY,2023-05-24 04:00:00,332,0,411.09,136481.88,136481.88,0.0,-86.32
SPY,2023-05-25 04:00:00,332,0,414.65,137663.8,137663.8,0.0,1095.6
SPY,2023-05-26 04:00:00,332,0,420.02,139446.64,139446.64,0.0,2878.44
SPY,2023-06-21 04:00:00,314,0,434.94,136571.16,136571.16,0.0,-226.08
SPY,2023-06-22 04:00:00,314,0,436.51,137064.14,137064.14,0.0,266.9
SPY,2023-06-23 04:00:00,314,0,433.21,136027.94,136027.94,0.0,-769.3
SPY,2023-08-03 04:00:00,305,0,448.84,136896.2,136896.2,0.0,-73.2
SPY,2023-08-04 04:00:00,305,0,446.81,136277.05,136277.05,0.0,-692.35
SPY,2023-08-07 04:00:00,305,0,450.71,137466.55,137466.55,0.0,497.15
SPY,2023-08-16 04:00:00,310,0,439.64,136288.4,136288.4,0.0,-688.2
SPY,2023-08-17 04:00:00,310,0,436.29,135249.9,135249.9,0.0,-1726.7
SPY,2023-08-18 04:00:00,310,0,436.5,135315.0,135315.0,0.0,-1661.6
SPY,2023-09-06 04:00:00,305,0,446.22,136097.1,136097.1,0.0,18.3
SPY,2023-09-07 04:00:00,305,0,444.85,135679.25,135679.25,0.0,-399.55
SPY,2023-09-08 04:00:00,305,0,445.52,135883.6,135883.6,0.0,-195.2
